Id,Tweet,Nom
1338962918315069447,RT @SPIRALlZE: unironically love when people just lie. like not about stuff that matters like politics or serious issues but when people ar…,Chacha™
1338962918130462729,"RT @ThePeteMosaic: ""Politics at its worst, is ugly. But politics at its best is magnificent. Because it's not just about policy, it is soul…",Ken Storer
1338962916410875905,"RT @Scientists4EU: “Erasmus, which was established in 1987, allows students to study abroad elsewhere in Europe, with over 4,000 participat…",Paula Davis - #FreeNazanin #3.5% #Resist
1338962915311968259,"RT @MSNBC: President-elect Biden to nominate Pete Buttigieg, his one-time Democratic primary rival, to lead the Dept. of Transportation, 3…",purduetracy
1338962914863173639,RT @jilevin: Trump Has Been Whining About Fake Fraud—and Ignoring a Real Cybersecurity Crisis https://t.co/BDkwFtyjpi,Brendan Steakelum
1338962912816324611,"RT @MSNBC: President-elect Biden to nominate Pete Buttigieg, his one-time Democratic primary rival, to lead the Dept. of Transportation, 3…",Michel Poussart
1338962912514338827,"RT @RichardWellings: The whole of HS2 should be cancelled, not just the eastern leg. It makes even less sense to proceed with this vanity p…",John Harding
1338962912094941184,China Leads the World in Jailing Journalists for Second Year Running https://t.co/9wHN6TICbY via @BreitbartNews,Polly Politics
1338962911868321794,RT @kylegriffin1: Reminder: Trump said in November that he'd leave office if the Electoral College voted for Biden. https://t.co/qSpGrS0NKA,RYC
1338962910878568449,"Actually , farrakhan is a toxic waste.

Open SmartNews and read ""Farrakhan dismisses coronavirus vaccine as ‘toxic… https://t.co/ABr4jIXAly",karl woda
1338962910467461123,RT @JolyonMaugham: He got a 45% pay rise whilst lowly public servants got a pay freeze. One rule for them and another for you. https://t.co…,Maureen Brown
1338962909288869892,"RT @BrexitBin: Farage's garages head north of the border 🏴󠁧󠁢󠁳󠁣󠁴󠁿
""An old military airfield near the Scottish town of Stranraer has been ear…",Alison Jenner 🔶🇪🇺🇬🇧
1338962909247004672,"If confirmed by the Senate, @PeteButtigieg would become the first openly #LGBTQ person serving in a Cabinet positio… https://t.co/T0hbg91F1R",Kevin Hughes-Noboa 🏳️‍🌈
1338962906063413249,RT @MSMWatchdog2013: Josh Frydenberg backs probe into banks not lending due to climate risks be chaired by Coalition climate sceptic George…,💧justanotweet
1338962900359270401,RT @michaeldweiss: Scope of Russian Hack Becomes Clear: Multiple U.S. Agencies Were Hit https://t.co/fjSTxbyDyg,rickcosta
1338962898710892548,"RT @davidschneider: WHAT THERE WASN'T MONEY FOR:
Feeding hungry kids
Proper pay for nurses/care workers
Pay rise for public sector workers…",Ellen
1338962896030736391,RT @cnnbrk: Pete Buttigieg is Biden's pick for transportation secretary. He will be the first Senate-confirmed LGBTQ Cabinet member if his…,Rebecca Len
1338962893782573058,RT @premnsikka: Kent lorry park will not be ready in time for Brexit day deadline. Another monument to UK govt incompetence and inertia. Lo…,David Paul Speak
1338962891962245124,@BBGAfrica @adamscrabble Why don’t interfere in Ugandan politics too?,♊️🐉
1338962890997555200,"RT @jewishaction: Kelly Loeffler’s campaign claims she didn’t know who Chester Doles is.

But he was removed from a Loeffler &amp; Marjorie Tay…",Indrid Chill
1338962889772773377,"RT @GdnPolitics: Most child sexual abuse gangs made up of white men, Home Office report says https://t.co/3fIjbO96oE",Ke St⭐️R
1338962889483415560,"RT @TheLeadCNN: Georgia election official Gabriel Sterling says he continues to receive death threats. 
“It goes beyond President Trump to…",Sm
1338962888451633156,"RT @jsolomonReports: Republican electors in five disputed states cast votes for Trump | Just The News
https://t.co/nL0zC3gy6i",1NationUnderGod
1338962887587622913,"RT @BBCPolitics: ""The prime minister promised very clearly to the British people... that a deal would be easy to achieve, that a deal would…",Chris Shaw
1338962887080095748,"RT @CNN: Vice President Mike Pence is likely to receive the coronavirus vaccine by Friday, two sources familiar with the plans said.
It's u…",Optimist Prime
1338962886689886208,RT @jacobinmag: Pete Buttigieg is the poster child for “progressive neoliberalism” — offering up platitudes about diversity while leaving u…,Backbone Campaign
1338962885867868168,@AinaNicho @michola94 @UnrulyKingMark1 @lilyakk1017 @Wana76798727 @BebeCoolUG @Omah_Lay @temsbaby Yeah he is even y… https://t.co/gNadUY24C6,Dazzyblac
1338962885674999812,Church vandalism exposes divisions over faith and politics - ABC News - https://t.co/LUUy2iHzB3 via @ABC,Vincent E Davis
1338962880671051779,Take money out of politics,angelica 🇵🇷
1338962879580663810,"@senatemajldr You have doomed the GOP today. Myself and millions like me, voted for @realDonaldTrump because he is… https://t.co/4KBgW3jxOo",Gano'
1338962878724886528,"RT @JohnLukeSam1: Mayor Pete or should I say, Secretary Pete, gets the job of Secretary of Transporation from Joe. Biden is picking highly…",Sheridan Taylor
1338962877798035456,"RT @krismeloche: PMJT on Truth &amp; Reconciliation- ""what took centuries to destroy, won't be fixed in 5 years.""
I will always side with Treat…",Christine 🍁☘️
1338962875780632579,"RT @MSNBC: President-elect Biden to nominate Pete Buttigieg, his one-time Democratic primary rival, to lead the Dept. of Transportation, 3…",Neil Baquiran 💭
1338962875168088064,RT @jilevin: Trump Has Been Whining About Fake Fraud—and Ignoring a Real Cybersecurity Crisis https://t.co/BDkwFtyjpi,Caribbean disaster
1338962875050815489,"RT @MSNBC: President-elect Biden to nominate Pete Buttigieg, his one-time Democratic primary rival, to lead the Dept. of Transportation, 3…",7HL
1338962874639806465,RT @danpfeiffer: Anyone applauding Mitch McConnell for accepting the results of an election decided a month ago should not be covering or c…,ezra bloom
1338962874086002688,"“Politics doesn’t have to be what some people think it is, it can be something more” - 44",aaron garcia
1338962871338799112,"RT @randyhillier: Dr Yaffe “ I just say whatever they write for me”. She sounds like every caucus &amp; elected member, I’ve met over 14 yr in…",WildWelshWoman
1338962869598232577,RT @BestForBritain: “This is an attack on democracy. The Conservative Party has changed. It's not what I joined – it seems more like an Eng…,Alfie Turner
1338962869069594626,"RT @Women4Biden: Forgive us for not applauding something that should have happened in November!

Senate Majority Leader Mitch McConnell for…",RYC
1338962868146999303,@Heritage @HvonSpakovsky Mike Flynn is still a traitor. Transcripts Show Michael Flynn Betrayed the United States: https://t.co/2TkhhgRsKg,🌊 R Saddler
1338962866733522944,"RT @RepMattGaetz: All eyes are on January 6. 

I suspect there will be a little bit of debate and discourse in the Congress as we go throug…",Jack
1338962866393788416,"RT @KamauMandela: .@JoeBiden and @KamalaHarris will be sworn-in at the U.S. Capitol on January 20, ensuring that @BidenInaugural is honorin…",Ucan’tFoolMe
1338962866112765955,RT @acagoldsmith: @AP_Politics The Electoral College: https://t.co/UwKhBA8Pdl,Bluelineblues 🧜🏻
1338962865856925698,"This came out a few days ago -then - sexual harassment allegations against Cuomo. 
https://t.co/NPTJWJOMd2",Charly
1338962865416527878,RT @LondonEconomic: The investigation came days after former Conservative MP Charlie Elphicke was convicted at Southwark Crown Court in a s…,David Smith
1338962863952576512,"RT @Cernovich: CA sheriff refuses to release 1,800 inmates after judge's order: 'Serious threat' to community  https://t.co/QPfGxj79X4",👀
1338962863822520320,"RT @David_A_Schultz: Regarding some people’s reactions to today’s #MTGKaldheim announcements, and their claims that they “don’t want politi…",Chrishanel.psd
1338962862795071488,"@CNNnews18 i think its other way around, conspirary is afoot to confuse d general public over the deterimental effe… https://t.co/DMKwNIPpN0",Richie
1338962861696167938,"RT @jsolomonReports: 'That didn't hurt at all!' Acting Defense Secretary Miller is vaccinated against COVID-19 | Just The News
https://t.co…",cheryllaird
1338962861629038594,@HouseGOP Politics and self centered....  They don’t give a damn about the people!,Lisa Minner
1338962861050261511,"RT @TheLeadCNN: Georgia election official Gabriel Sterling says he continues to receive death threats. 
“It goes beyond President Trump to…",Javier de Diego
1338962860882481153,"RT @tribelaw: Better now than later. This should help to prevent January 6 from getting too messy. But with @senatemajldr or without him, @…",Brian H Hunt
1338962858311299072,"RT @txemarmesto: Trump Retweets Call to 'Jail' Georgia GOP Governor, Secretary of State | https://t.co/6rkqCyeJ6K - https://t.co/xMuoAmWVzA…",Maria de Jesus
1338962857694793730,"RT @GOPChairwoman: .@WINRED’s success would not have been possible without @realDonaldTrump's support.
 
It played a critical role in Repub…",Ricky Keith
1338962856675577867,RT @FredTJoseph: The fact Democrats are now asking people to “unite” with the Trump supporters is exactly what’s wrong with this country an…,BLM; LegallyBlindGaming
1338962853353693189,@damnpamfromnamm @Georgiemutt @Omniseed @samjmintz @justindotnet Have you ever been involved in local transportatio… https://t.co/mk1nF5yNfz,YimbyAlexandria
1338962851969568779,"RT @stltoday: Joe Biden picks Pete Buttigieg, former Democratic rival, to be transportation secretary https://t.co/kxRALyWhJQ",keith krewson،
1338962850430201863,"RT @KeithStarmerMP: How would you describe my politics?

(Anyone who chooses option 4 will face expulsion.)",Chris 🇵🇸 Free Palestine
1338962849876635648,"RT @kylegriffin1: On a private conference call, Mitch McConnell urged Republican senators not to join House members on January 6 to object…",(((Barabbas))) [Human Scum]
1338962849150939136,"RT @kara_nashpost: Re-upping but for Tennessee 

https://t.co/pAlB0iX3VR",MayasMommy2 #NotMeUs
1338962846793695233,"RT @SandiaLabs: In the face of a global pandemic, Sandia is honored to be named one of the Healthiest 100 Workplaces in America for taking…",godfreydaniels
1338962846663766017,RT @ShahidForChange: @Reuters This suggests that Biden is placing a higher priority on party politics than on policy.,Juan Martin Guevara☯️🇨🇺🇲🇽
1338962844495261700,"Pete Buttigieg to be named Biden's transportation secretary

Buttigieg would be the first Senate-confirmed LGBTQ Ca… https://t.co/FUbRHm7FeA",citoyenne du monde #NousSommesPour #JLM2022
1338962843345903622,"RT @Convolutedname: It's awesome that people who are supposed smart politics knowers, can only understand it through fandom. https://t.co/v…",Jean-Michel Connard
1338962842347823104,RT @SafetyPinDaily: Voter fraud: The 'urban myth' behind GOP claims || By Ronald Brownstein https://t.co/itKSMAKezN,Jolease
1338962842272198657,"RT @CNN: JUST IN: President-elect Joe Biden will nominate Pete Buttigieg to be his transportation secretary, sources familiar with the matt…",Sheryl Rosenbaum
1338962840879845376,RT @BeijingPalmer: remember how Elaine Chao's conversations with Chinese officials in Beijing on behalf of her family shipping business so…,Susan W FL 🌊
1338962839013371906,"another legal defeat for Donald Trump - and this has nothing to do with the election. 
https://t.co/H7H1zIrdpK",Bill Ritter
1338962837784453124,"RT @ThePeteMosaic: ""Politics at its worst, is ugly. But politics at its best is magnificent. Because it's not just about policy, it is soul…",NicolaJane Buttigieg
1338962836865900551,@DrBiden #Identity Politics.  A foolish mask for Marxist doctrines.,Our Children's Future Is Yesterday
1338962836773625863,"RT @MSNBC: President-elect Biden to nominate Pete Buttigieg, his one-time Democratic primary rival, to lead the Dept. of Transportation, 3…",Loris Walker
1338962831396532225,"RT @thenation: Congressional Republicans even promised to challenge the Electoral College certification process in January.

https://t.co/0…",Joseph Richard Préville יוֹסֵף
1338962830222045185,@AnnClwyd @ITVWales And yet if it was a Tory in wales exactly the same circumstances you'd be calling for their hea… https://t.co/37c8ErcAV6,Dave N
1338962829265805312,McEnany: Trump 'still pursuing' election litigation https://t.co/xRGgo5Hyyh,Christy
1338962827256745990,"@HisnameYaH @LLinWood @BrianKempGA @GaSecofState If true, the loss is that he's likely been lying to millions of pe… https://t.co/yRBbGoBiT8",Dr Josey Wales
1338962826182987780,"RT @RichardWellings: The whole of HS2 should be cancelled, not just the eastern leg. It makes even less sense to proceed with this vanity p…",MCheshireAgainstHS2
1338962825230700544,"@ofctimallen All of us to throw at the satanists in politics, royal families and entertainment",Tim Beacham
1338962824949850112,RT @DavidCornDC: JUST POSTED: Trump just retweeted a Seth Rich conspiracy theorist who's calling for an uprising. These are the people he's…,Col. Flagg
1338962824429789186,"RT @JORGE_C_NY: @AP_Politics ""You knew damn well I was a snake before you took me in"" 

They knew 

Moscow Mitch knew.✅
Lindsey Graham knew…",Debra Ponte
1338962822705844226,RT @EricMGarcia: Trump voters are the biggest group most turned off from voting. That could be bad news from #GASen. I was a big skeptic ab…,Josh Kraushaar
1338962818868056067,"RT @ABC: President-elect Joe Biden calls on Georgians to vote in the Senate runoffs, and to vote early: ""You've gotta vote in record number…",Dang am i pissed off
1338962818373136385,"RT @MSNBC: President-elect Biden to nominate Pete Buttigieg, his one-time Democratic primary rival, to lead the Dept. of Transportation, 3…",AJ
1338962816733044737,RT @ThiaBallerina: Why’s everything is so b&amp;w? You can like what jimmy’s saying and still like sirota. You can back what jimmy’s pushing &amp;…,Intractable Radical 🌹
1338962815625859072,RT @danpfeiffer: Anyone applauding Mitch McConnell for accepting the results of an election decided a month ago should not be covering or c…,Tina Morphis #KHive #Humanist #ForthePeople
1338962815428612096,RT @ikalin1: Foreign policy is not a zero-sum game. Multiple engagements are a sine qua non of global politics. https://t.co/gtRpD4qwA4,fatih duysak
1338962815340531712,"RT @australian: #BREAKING: China’s Foreign Ministry spokesman Wang Wenbin breaks Beijing silence, saying Australia is ‘playing victim’ on c…",President Elect - WINTRELL
1338962813792894976,"RT @NewsHour: Speaker Pelosi spoke with Treasury Sec. Mnuchin for more than an hour on a new coronavirus aid package, according to a tweet…",Faith Alfred
1338962813549764610,"RT @peterjukes: Bang goes the repulsive calumny that has powered so much Islamophobia in our press and on our streets 

Most child sexual a…",Joe Hirst
1338962812400386048,"RT @angie_keathly: Pete Buttigieg to be named Biden's transportation secretary! 

Yessss!!

 Perfect fit for Buttigieg, as one of his campa…",Georgie
1338962811930685440,RT @MichaelEliasso4: Judge rejects Trump Organization's claim of privilege to shield documents from NY AG https://t.co/pjxkSvty24,gerald3.14159
1338962811901374465,"RT @TheLeadCNN: Georgia election official Gabriel Sterling says he continues to receive death threats. 
“It goes beyond President Trump to…",Travon Williams 🇺🇲❄️🎄
1338962811448401921,McEnany isn’t leaving the White House without a few more lazy attacks on the media https://t.co/OKRqz0w63J,kasey jones
1338962810647154690,"RT @NewcastleHunter: Whereupon Throsby reaches for his trusty Oxford English Dictionary to re-examine the definition of ""laissez faire""

#A…",Alan Mitchell
1338962810638794752,@nprpolitics I'm no centrist -- more of a pragmatic progressive -- so I love to see some bipartisanship returning to American politics.,Oregon Jim
1338962809678417922,"RT @betsy_klein: ""Everyone must wear a mask at all times while in any Children's National facility to prevent the spread of COVID-19,"" the…",KA
1338962809628086273,"RT @Slate: From Rudy Giuliani to Ben Carson, the president ensures that some people who get sick with COVID get access to the best medical…",That Magic Pony
1338962809271558146,"RT @GOPChairwoman: .@WINRED’s success would not have been possible without @realDonaldTrump's support.
 
It played a critical role in Repub…",Jamee Powell
1338962807220436993,"Republican contender for Va. governor says Trump should declare martial law https://t.co/8BVD1lCRRs

Republicans ar… https://t.co/jW1ozNcJSV",Dan Lopez
1338962807006650369,"RT @jsolomonReports: Republican electors in five disputed states cast votes for Trump | Just The News
https://t.co/nL0zC3gy6i",J Schwartz🇺🇸💖
1338962806511644673,"President-elect Joe Biden campaigned Tuesday in Georgia, where two Senate runoff races will determine whether Repub… https://t.co/LcGoBxSDOv",USA TODAY Politics
1338962804510961668,RT @jilevin: Trump Has Been Whining About Fake Fraud—and Ignoring a Real Cybersecurity Crisis https://t.co/BDkwFtyjpi,Steven Helmericks
1338962804280274947,@LindseyGrahamSC OMG this so 1950’s / McCarthyism era.  The Republicans are searching for a new evil they can plays… https://t.co/8bSP6YAjTM,Keith Berkland
1338962803516960771,"POLITICS: @PeteButtigieg, who made waves in the 2020 election before dropping out and endorsing @JoeBiden, has obta… https://t.co/rUTMEHXqZU",SouthFloridaGayNews
1338962802887847940,RT @nytimes: President-elect Joe Biden will nominate Pete Buttigieg to lead the Department of Transportation. If he is confirmed by the Sen…,Maria
1338962802791206912,"RT @ThisWeekABC: President-elect Biden campaigns in Georgia for Democratic senatorial candidates Warnock and Ossoff, saying, ""They know pub…",NotComey
1338962802606665728,"RT @merica: Joe Biden will nominate Pete Buttigieg to be his transportation secretary, sources familiar with the matter tell CNN, elevating…",Gabe Gage 🇨🇦🗽🇺🇸
1338962800664748034,"RT @ThisWeekABC: President-elect Joe Biden calls on Georgians to vote in the Senate runoffs, and to vote early: ""You've gotta vote in recor…",NotComey
1338962799242825728,"RT @ThisWeekABC: Pres.-elect Joe Biden hits Georgia's GOP senators over Texas election lawsuit, which was rejected by the Supreme Court.

""…",NotComey
1338962798102114306,RT @CNNPolitics: Sen. Mitt Romney spoke to President-elect Joe Biden and congratulated him https://t.co/4JNr8Xlfu8 https://t.co/l0SvqOMPUX,Elton A.J. Menezes 
1338962797934256128,"RT @ThisWeekABC: After the Electoral College certifies President-elect Biden's victory, both Georgia GOP Sens. Loeffler and Perdue have yet…",NotComey
1338962797741309952,"RT @ericmetaxas: Mitch McConnell is a self-serving politician, which is why he is part of the SWAMP in my book DONALD DRAINS THE SWAMP. No…",SkyLeafer
1338962796931764225,RT @ThisWeekABC: New York Gov. Andrew Cuomo denied a former aide’s allegations that he sexually harassed her by making inappropriate commen…,NotComey
1338962796864802817,"RT @Redistrict: In hindsight, Trump probably could have lost by ~6 million votes nationally and still prevailed in the Electoral College. h…",Joshua J. Volkers
1338962796558639105,"After 6 weeks of raising suspicions, casting doubts and spreading Donald Trump's message, Sen. Ron Johnson calls Am… https://t.co/BMKcPxUzwl",George Stanley
1338962796550230017,"RT @GdnPolitics: Most child sexual abuse gangs made up of white men, Home Office report says https://t.co/3fIjbO96oE",Markieboy 🏴󠁧󠁢󠁳󠁣󠁴󠁿
1338962796256563201,Georgia GOP traitors dig in on refusal to recognize Biden win https://t.co/l8dxgTcWI8,Lewis Holt
1338962794667012103,RT @BillKristol: “It’s important to document this era in American politics and to remember what happened and who did what...We’re not going…,💧Barbara Sosnowski @🏡😷
1338962793287077888,"What a read, this book has it all. History, politics, suspense &amp; drama it is one of the best non-fiction books I ha… https://t.co/zH2Gr8xH1L",MrHarahHistory
1338962792045572097,The Electoral College has affirmed President-elect Joe Biden’s victory. That doesn’t mean that pro-Trump news outle… https://t.co/Ynggs7PN26,NYT National News
1338962791378669572,"Great interview on the imperative of getting the political economy &amp; the politics right, if #carbon pricing is to b… https://t.co/OMRVfRGswt",R Meléndez-Ortiz
1338962790996963328,"RT @MoGalore: One Vote by J. Stewart Willis https://t.co/1512cypmTJ
Can your vote make a difference?
#AMAZON &gt; #KindleUnlimited #eBook &amp; Av…",MoGalore NOOK KOBO KINDLE BOOKS
1338962788970991616,"RT @atrupar: The ""68% error rate"" Trump mentions here comes from a report written by a right-wing organization that has already discredited…",Anne Wright
1338962788790792193,"Sponsored content: Researchers surveyed more than 100 government officials in Malawi, Tanzania, and Zambia over six… https://t.co/tG5KU2mckO",Climate Home News
1338962788283256841,Don't know about accuracy of arguments but the minister is giving his points/opinions sensibly. That's a good sign… https://t.co/lrTmSC669H,Wanderer
1338962787486363649,"RT @LimeriTweets: .-.
WEAK-KNEED GOP

Now that Mitch and #Putin agreed
The #gop looks dumb and weak-kneed
..but with the new knowledge
..of…",Diaz-Luna ☮️
1338962786601332736,"RT @NewsHour: Speaker Pelosi spoke with Treasury Sec. Mnuchin for more than an hour on a new coronavirus aid package, according to a tweet…",Deborah Usry 🌊
1338962786534236165,RT @TheNBACentral: Two biggest trends on twitter: NBA and Politics 😂 https://t.co/Wgdw2vgG1b,CHARLEMAGNE
1338962785863151618,@SeattleSloth_ Yay! More politics! We need more of that! Please shut up.,Cam Crecelius
1338962785825329155,"@PaulJSweeney @Leo_Iam_535 @PeteKrykant_OPC I live in Inverclyde, a place where the dealers rule the schemes, needl… https://t.co/kZscIzlOJg",Christe4 Reid 4 Independence.
1338962782973095937,RT @joanwalsh: There are so many people to hate in the Trump administration. I think my first choice is racist Stephen Miller. But it might…,Robyn Ness (Hyde)
1338962780771164166,"RT @ZyclownB: 🤡GOP: ""We don't do identity politics""

What that really means: ""We do identity politics for everyone except Whites"" https://t…",Lemon Fresh 🇦🇺 🇬🇷
1338962777168355328,"RT @mviser: Biden inauguration is using the DNC as a model, for a mostly virtual but some in-person, event. 

Production team, like DNC, in…",Showboat7
1338962775729586176,"RT @MSNBC: President-elect Biden to nominate Pete Buttigieg, his one-time Democratic primary rival, to lead the Dept. of Transportation, 3…",🌈Drew Rizzuti🌈
1338962774051917831,"@thehill The expert on Congress at the AEI think tank @NormOrnstein disagrees w McConaughey’s take.

“Both sides” i… https://t.co/jFoTpTvJok",Mitch Cumstein
1338962771845787649,RT @DavidCornDC: JUST POSTED: Trump just retweeted a Seth Rich conspiracy theorist who's calling for an uprising. These are the people he's…,Constance Benson🇨🇦
1338962771522760708,"RT @jsolomonReports: Michigan lawyer DePerno calls report related to Dominion Voting System 'explosive' | Just The News
https://t.co/QND75u…",XYZ
1338962770117718016,"@trancedanzz Sadly it’s not a matter of opinion: if you want a trade deal, which means free movement of goods and s… https://t.co/hHLrXBEpud",Mat Oxley
1338962769387778048,"(FLASHBACK May, 2020) @NBCNews Fact Check: Coronavirus Vaccine Could Come This Year, Trump Says. Experts Say He Nee… https://t.co/OUTnmdM6NI",DeAne Pradzinski
1338962768100208640,"RT @RepDougCollins: What else is Hunter Biden hiding?

https://t.co/cfST1y0jvf",Dr. President-Elect Smirkin@smirkygirl-8
1338962767638896646,RT @cnnbrk: Pete Buttigieg is Biden's pick for transportation secretary. He will be the first Senate-confirmed LGBTQ Cabinet member if his…,Joshua Nichols
1338962766409830400,"Not because they are hard left or condone CSA 

Just because they were politicized by the online left.

So they've… https://t.co/wujZL1lGMw",BostonMarriage
1338962766162513920,"RT @Scientists4EU: “Erasmus, which was established in 1987, allows students to study abroad elsewhere in Europe, with over 4,000 participat…",Liz747
1338962765910781954,Brexit: UK wants EU trade deal but not 'at any cost' - Boris Johnson https://t.co/cE34WKUj1u,Marplesmarbles
1338962765806006272,@SenHawleyPress @KRCG13 I'm trying to be hopeful but I don't see Mitch/Nancy going for this. Mitch has a distaste f… https://t.co/hbv2MBtaO3,Musical Missives
1338962763146780672,RT @snb19692: There are many fronts to attack &amp; bring down this corrupt government of charlatans.We need a credible alliance of opposition…,Charlie Harden #FBPE #GTTO 🇪🇺🕷😷
1338962762983157760,RT @NikkiHaley: The media “fact-checked” the Trump admin for predicting a vaccine would arrive in 2020. They said it would take a “miracle.…,BesnikDardani
1338962762853097472,"RT @seerutkchawla: Identity politics seeks to:
-destroy the individual identity
-Reduce people to immutable characteristics 
-creates divis…",The Arbourist
1338962761938657280,Scottish airfield earmarked as post-Brexit lorry park https://t.co/7tkvu0bw4w,fidelma cook
1338962758918832129,RT @cnnbrk: Pete Buttigieg is Biden's pick for transportation secretary. He will be the first Senate-confirmed LGBTQ Cabinet member if his…,sylvia 🐝🐊🍍
1338962758554030084,RT @AmarDeepSinghD: The most tedious critics of “identity politics” really love to fall back on it when challenged. So as a brown queer gen…,The Trashies
1338962757467697154,"RT @kylegriffin1: Precious McKesson was the sole Nebraska elector to cast the vote for Biden. McKesson, who's the 1st woman of color to cas…",Ken Storer
1338962755949309956,"Georgia election official Gabriel Sterling says he continues to receive death threats. 
“It goes beyond President T… https://t.co/Uq9cgTDjC8",The Lead CNN
1338962755890667521,RT @DavidCornDC: JUST POSTED: Trump just retweeted a Seth Rich conspiracy theorist who's calling for an uprising. These are the people he's…,AroseMD208🇺🇸
